"feature","ERR11866391_humann_input_Abundance-RPKs"
"K21572",0.000496087
"K02914",0.000413085
"K03088",0.000408525
"K02913",0.000395437
"K02911",0.000174402
"K02907",0.000160891
"K02954",0.000140946
"K02916",0.000136394
"K07085",0.000132843
"K02950",0.000130329
"K02004",0.000127798
"K00262",0.000126945
"K02878",0.000125509
"K02965",0.000123898
"K02899",0.000123097
"K02355",0.000122833
"K02564",0.000122358
"K02904",0.000122006
"K02963",0.000119463
"K03073",0.000116625
"K02078",0.000115388
"K02961",0.000109664
"K02968",0.000107742
"K02518",0.000105321
"K02909",0.000103659
"K02874",0.000102739
"K02956",0.000102234
"K02110",0.000101795
"K02948",9.99921e-05
"K02887",9.97481e-05
