"feature","ERR11865866_humann_input_Abundance-RPKs"
"K02913",0.000596704
"K21572",0.000203911
"K02907",0.000181829
"K02914",0.000181334
"K03088",0.000156105
"K02916",0.000149499
"K02954",0.000142257
"K09777",0.000122764
"K02015",0.000118976
"K02003",0.000114806
"K02952",0.000107915
"K02990",0.000103284
"K02881",0.000101802
"K02878",0.000100893
"K02016",0.000100698
"K02886",9.7989e-05
"K02887",9.79289e-05
"K02874",9.74996e-05
"K03530",9.56133e-05
"K02888",9.52118e-05
"K02906",9.50553e-05
"K02904",9.43578e-05
"K02965",9.41072e-05
"K02926",9.25444e-05
"K02013",9.17692e-05
"K03075",8.83656e-05
"K00783",8.82801e-05
"K03704",8.70181e-05
"K04047",8.54834e-05
"K02115",8.45374e-05
