"feature","ERR11869141_humann_input_Abundance-RPKs"
"K21572",0.00111889
"K03088",0.000590677
"K02914",0.000482901
"K02004",0.00039589
"K02913",0.000349596
"K05349",0.000275603
"K02965",0.000217878
"K00566",0.000199014
"K02954",0.000180141
"K02878",0.000179508
"K02948",0.000174312
"K02950",0.000171411
"K07085",0.000167643
"K02911",0.000164344
"K02907",0.000161192
"K02996",0.000157212
"K01990",0.000141897
"K01992",0.000139647
"K02078",0.000133271
"K02970",0.000130617
"K02003",0.000130005
"K06147",0.000129302
"K12373",0.000125396
"K02988",0.000123423
"K01190",0.000120847
"K01752",0.000115345
"K02904",0.000114827
"K03551",0.000112701
"K02355",0.000112212
"K02005",0.00011187
