"feature","ERR11869457_humann_input_Abundance-RPKs"
"K21572",0.00052758
"K03088",0.000379396
"K02004",0.000242935
"K02003",0.000147136
"K01992",0.000138623
"K06147",0.000130833
"K02906",0.000122311
"K01647",0.000116057
"K00566",0.000112711
"K07240",0.000112601
"K18220",0.000111328
"K03497",0.000109947
"K01990",0.000101963
"K02945",9.97969e-05
"K00059",9.94919e-05
"K02954",9.83449e-05
"K07085",9.79349e-05
"K02926",9.75281e-05
"K14652",9.67863e-05
"K01752",9.2127e-05
"K03496",9.06998e-05
"K02357",9.02419e-05
"K02005",8.98752e-05
"K02950",8.74923e-05
"K02057",8.59257e-05
"K00615",8.55059e-05
"K05349",8.52916e-05
"K02110",8.28761e-05
"K01520",8.24529e-05
"K03655",8.21014e-05
